mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,0,0
33.0,4,91.0,53.0,1795,17.4,76,3,33.0,30.949377059936523
28.0,4,120.0,79.0,2625,18.6,82,1,28.0,28.13362693786621
19.0,6,232.0,100.0,2634,13.0,71,1,19.0,20.603269577026367
13.0,8,318.0,150.0,3940,13.2,76,1,13.0,15.396601676940918
14.0,8,318.0,150.0,4237,14.5,73,1,14.0,12.624556541442871
27.0,4,97.0,88.0,2100,16.5,72,3,27.0,27.552186965942383
24.0,4,140.0,92.0,2865,16.4,82,1,24.0,26.243303298950195
13.0,8,440.0,215.0,4735,11.0,73,1,13.0,7.835310935974121
17.0,8,260.0,110.0,4060,19.0,77,1,17.0,16.8470516204834
21.0,6,200.0,93.5,2875,17.0,74,1,21.0,21.918115615844727
15.0,8,390.0,190.0,3850,8.5,70,1,15.0,11.3808012008667
38.0,4,91.0,67.0,1965,15.0,82,3,38.0,32.58221435546875
26.0,4,91.0,70.0,1955,20.5,71,1,26.0,27.3328914642334
15.0,8,304.0,150.0,3892,12.5,72,1,15.0,13.913641929626465
25.0,4,140.0,75.0,2542,17.0,74,1,25.0,24.150705337524414
12.0,8,383.0,180.0,4955,11.5,71,1,12.0,6.463545799255371
31.0,4,112.0,85.0,2575,16.2,82,1,31.0,28.19578742980957
17.0,6,163.0,125.0,3140,13.6,78,2,17.0,23.35843849182129
16.0,8,400.0,180.0,4220,11.1,77,1,16.0,12.836066246032715
31.0,4,91.0,68.0,1970,17.6,82,3,31.0,33.015953063964844
22.0,4,121.0,76.0,2511,18.0,72,2,22.0,24.476573944091797
22.0,6,198.0,95.0,2833,15.5,70,1,22.0,20.0632266998291
22.0,6,232.0,112.0,2835,14.7,82,1,22.0,25.09891700744629
33.5,4,98.0,83.0,2075,15.9,77,1,33.5,28.715633392333984
18.0,8,307.0,130.0,3504,12.0,70,1,18.0,14.702025413513184
44.0,4,97.0,52.0,2130,24.6,82,2,44.0,32.52078628540039
26.0,4,98.0,90.0,2265,15.5,73,2,26.0,26.3980712890625
24.5,4,151.0,88.0,2740,16.0,77,1,24.5,24.26090431213379
18.1,6,258.0,120.0,3410,15.1,78,1,18.100000381469727,19.827146530151367
12.0,8,400.0,167.0,4906,12.5,73,1,12.0,7.388190269470215
27.0,4,140.0,86.0,2790,15.6,82,1,27.0,26.442659378051758
36.0,4,105.0,74.0,1980,15.3,82,2,36.0,31.80699348449707
23.0,8,350.0,125.0,3900,17.4,79,1,23.0,16.894365310668945
24.0,4,113.0,95.0,2278,15.5,72,3,24.0,26.210012435913086
37.2,4,86.0,65.0,2019,16.4,80,3,37.20000076293945,31.667634963989258
16.0,8,400.0,230.0,4278,9.5,73,1,16.0,10.911574363708496
21.0,6,155.0,107.0,2472,14.0,73,1,21.0,24.05170249938965
19.2,8,305.0,145.0,3425,13.2,78,1,19.200000762939453,19.276029586791992
16.0,8,318.0,150.0,4498,14.5,75,1,16.0,12.161734580993652
29.0,4,98.0,83.0,2219,16.5,74,2,29.0,27.21085548400879
26.8,6,173.0,115.0,2700,12.9,79,1,26.799999237060547,25.207963943481445
27.0,4,97.0,60.0,1834,19.0,71,2,27.0,28.074230194091797
18.0,4,121.0,112.0,2933,14.5,72,2,18.0,21.99468421936035
10.0,8,360.0,215.0,4615,14.0,70,1,10.0,9.042731285095215
23.0,4,120.0,97.0,2506,14.5,72,3,23.0,24.70926284790039
36.0,4,120.0,88.0,2160,14.5,82,3,36.0,31.14993667602539
26.0,4,116.0,75.0,2246,14.0,74,2,26.0,26.221622467041016
25.0,4,121.0,115.0,2671,13.5,75,2,25.0,24.663137435913086
25.0,4,104.0,95.0,2375,17.5,70,2,25.0,24.69453239440918
25.0,4,90.0,71.0,2223,16.5,75,2,25.0,27.673933029174805
22.0,4,140.0,72.0,2408,19.0,71,1,22.0,23.778270721435547
34.1,4,86.0,65.0,1975,15.2,79,3,34.099998474121094,31.22770881652832
32.4,4,107.0,72.0,2290,17.0,80,3,32.400001525878906,30.013076782226562
13.0,8,400.0,190.0,4422,12.5,72,1,13.0,9.76138973236084
23.5,6,173.0,110.0,2725,12.6,81,1,23.5,25.904870986938477
14.0,8,400.0,175.0,4464,11.5,71,1,14.0,8.734183311462402
18.5,8,360.0,150.0,3940,13.0,79,1,18.5,16.00554847717285
29.8,4,134.0,90.0,2711,15.5,80,3,29.799999237060547,27.200231552124023
28.0,4,140.0,90.0,2264,15.5,71,1,28.0,24.137758255004883
19.0,6,225.0,95.0,3264,16.0,75,1,19.0,19.690874099731445
11.0,8,350.0,180.0,3664,11.0,73,1,11.0,14.832831382751465
33.0,4,91.0,53.0,1795,17.5,75,3,33.0,30.498451232910156
23.0,4,140.0,83.0,2639,17.0,75,1,23.0,24.184656143188477
21.0,4,120.0,87.0,2979,19.5,72,2,21.0,22.363096237182617
23.0,6,198.0,95.0,2904,16.0,73,1,23.0,21.17372703552246
25.0,4,113.0,95.0,2228,14.0,71,3,25.0,25.75034523010254
23.8,4,151.0,85.0,2855,17.6,78,1,23.799999237060547,24.357221603393555
34.4,4,98.0,65.0,2045,16.2,81,1,34.400001525878906,30.608259201049805
24.5,4,98.0,60.0,2164,22.1,76,1,24.5,28.596254348754883
13.0,8,307.0,130.0,4098,14.0,72,1,13.0,12.799925804138184
34.7,4,105.0,63.0,2215,14.9,81,1,34.70000076293945,29.32364845275879
14.0,8,304.0,150.0,4257,15.5,74,1,14.0,13.412291526794434
15.0,8,429.0,198.0,4341,10.0,70,1,15.0,8.38700008392334
18.0,6,258.0,110.0,2962,13.5,71,1,18.0,18.567373275756836
25.0,6,181.0,110.0,2945,16.4,82,1,25.0,25.706064224243164
19.9,8,260.0,110.0,3365,15.5,78,1,19.899999618530273,20.4357852935791
17.5,6,250.0,110.0,3520,16.4,77,1,17.5,19.03184700012207
28.0,4,112.0,88.0,2605,19.6,82,1,28.0,28.655336380004883
29.0,4,90.0,70.0,1937,14.0,75,2,29.0,28.764005661010742
17.0,8,305.0,130.0,3840,15.4,79,1,17.0,17.739118576049805
16.0,8,304.0,150.0,3433,12.0,70,1,16.0,17.188310623168945
27.0,4,97.0,88.0,2130,14.5,70,3,27.0,27.539859771728516
37.0,4,91.0,68.0,2025,18.2,82,3,37.0,34.53718185424805
36.1,4,91.0,60.0,1800,16.4,78,3,36.099998474121094,33.27066421508789
23.0,4,115.0,95.0,2694,15.0,75,2,23.0,26.209444046020508
14.0,8,400.0,175.0,4385,12.0,72,1,14.0,12.591031074523926
32.8,4,78.0,52.0,1985,19.4,78,3,32.79999923706055,33.18137741088867
29.9,4,98.0,65.0,2380,20.7,81,1,29.899999618530273,31.450471878051758
20.0,4,97.0,88.0,2279,19.0,73,3,20.0,29.47987937927246
12.0,8,429.0,198.0,4952,11.5,73,1,12.0,9.913430213928223
15.5,8,400.0,190.0,4325,12.2,77,1,15.5,15.45055866241455
23.7,3,70.0,100.0,2420,12.5,80,3,23.700000762939453,30.410545349121094
24.0,4,116.0,75.0,2158,15.5,73,2,24.0,28.08220100402832
36.0,4,79.0,58.0,1825,18.6,77,2,36.0,32.712833404541016
19.0,6,156.0,108.0,2930,15.5,76,3,19.0,25.880910873413086
38.0,4,105.0,63.0,2125,14.7,82,1,38.0,31.387479782104492
29.0,4,135.0,84.0,2525,16.0,82,1,29.0,29.665618896484375
21.5,6,231.0,115.0,3245,15.4,79,1,21.5,23.689117431640625
27.9,4,156.0,105.0,2800,14.4,80,1,27.899999618530273,26.883575439453125
14.0,8,318.0,150.0,4077,14.0,72,1,14.0,15.143628120422363
36.1,4,98.0,66.0,1800,14.4,78,1,36.099998474121094,31.29792022705078
22.0,4,108.0,94.0,2379,16.5,73,3,22.0,28.17585563659668
18.0,6,199.0,97.0,2774,15.5,70,1,18.0,22.13874053955078
17.0,8,304.0,150.0,3672,11.5,72,1,17.0,16.666902542114258
18.0,6,250.0,105.0,3459,16.0,75,1,18.0,20.625844955444336
14.0,8,440.0,215.0,4312,8.5,70,1,14.0,11.199933052062988
26.0,4,97.0,46.0,1835,20.5,70,2,26.0,29.749378204345703
13.0,8,350.0,150.0,4699,14.5,74,1,13.0,12.633088111877441
33.0,4,105.0,74.0,2190,14.2,81,2,33.0,31.253345489501953
37.0,4,85.0,65.0,1975,19.4,81,3,37.0,34.71866989135742
32.0,4,71.0,65.0,1836,21.0,74,3,32.0,32.84113693237305
28.0,4,107.0,86.0,2464,15.5,76,2,28.0,28.007863998413086
19.2,8,267.0,125.0,3605,15.0,79,1,19.200000762939453,21.26622772216797
32.0,4,91.0,67.0,1965,15.7,82,3,32.0,34.089473724365234
27.4,4,121.0,80.0,2670,15.0,79,1,27.399999618530273,27.256364822387695
20.0,4,140.0,90.0,2408,19.5,72,1,20.0,26.805683135986328
26.0,4,96.0,69.0,2189,18.0,72,2,26.0,28.286169052124023
20.6,6,225.0,110.0,3360,16.6,79,1,20.600000381469727,23.41657066345215
37.3,4,91.0,69.0,2130,14.7,79,2,37.29999923706055,30.85056495666504
16.2,6,163.0,133.0,3410,15.8,78,2,16.200000762939453,23.861675262451172
15.0,8,350.0,145.0,4440,14.0,75,1,15.0,14.27507495880127
21.0,4,140.0,72.0,2401,19.5,73,1,21.0,27.085058212280273
21.0,6,200.0,85.0,2587,16.0,70,1,21.0,23.14586067199707
20.5,6,200.0,95.0,3155,18.2,78,1,20.5,24.545888900756836
21.0,6,199.0,90.0,2648,15.0,70,1,21.0,22.581239700317383
25.4,6,168.0,116.0,2900,12.6,81,3,25.399999618530273,27.467300415039062
34.1,4,91.0,68.0,1985,16.0,81,3,34.099998474121094,33.62594985961914
27.0,4,151.0,90.0,2950,17.3,82,1,27.0,27.728445053100586
36.0,4,98.0,70.0,2125,17.3,82,1,36.0,32.311363220214844
31.6,4,120.0,74.0,2635,18.3,81,3,31.600000381469727,30.68703269958496
38.1,4,89.0,60.0,1968,18.8,80,3,38.099998474121094,34.02631759643555
32.0,4,83.0,61.0,2003,19.0,74,3,32.0,31.200105667114258
40.8,4,85.0,65.0,2110,19.2,80,3,40.79999923706055,33.471839904785156
19.0,6,232.0,90.0,3211,17.0,75,1,19.0,22.21339225769043
20.0,4,114.0,91.0,2582,14.0,73,2,20.0,25.550302505493164
22.0,6,250.0,105.0,3353,14.5,76,1,22.0,21.20046043395996
17.5,6,258.0,95.0,3193,17.8,76,1,17.5,22.88596534729004
35.1,4,81.0,60.0,1760,16.1,81,3,35.099998474121094,34.84352111816406
30.5,4,98.0,63.0,2051,17.0,77,1,30.5,30.2398738861084
33.7,4,107.0,75.0,2210,14.4,81,3,33.70000076293945,31.897985458374023
19.0,6,250.0,88.0,3302,15.5,71,1,19.0,19.27897834777832
14.0,8,302.0,140.0,4638,16.0,74,1,14.0,13.640580177307129
15.5,8,351.0,142.0,4054,14.3,79,1,15.5,18.237783432006836
15.0,6,250.0,72.0,3158,19.5,75,1,15.0,22.911401748657227
22.5,6,232.0,90.0,3085,17.6,76,1,22.5,23.533174514770508
29.0,4,85.0,52.0,2035,22.2,76,1,29.0,31.40603256225586
23.0,4,97.0,54.0,2254,23.5,72,2,23.0,29.41727638244629
18.0,3,70.0,90.0,2124,13.5,73,3,18.0,28.97551155090332
25.5,4,122.0,96.0,2300,15.5,77,1,25.5,28.669397354125977
24.0,4,119.0,97.0,2545,17.0,75,3,24.0,28.308549880981445
14.0,8,454.0,220.0,4354,9.0,70,1,14.0,11.08541202545166
16.5,8,351.0,138.0,3955,13.2,79,1,16.5,18.388898849487305
20.3,5,131.0,103.0,2830,15.9,78,2,20.299999237060547,26.996198654174805
26.0,4,108.0,93.0,2391,15.5,74,3,26.0,28.25452423095703
15.0,8,383.0,170.0,3563,10.0,70,1,15.0,15.555737495422363
33.8,4,97.0,67.0,2145,18.0,80,3,33.79999923706055,32.857120513916016
11.0,8,400.0,150.0,4997,14.0,73,1,11.0,10.058510780334473
28.0,4,97.0,92.0,2288,17.0,72,3,28.0,28.413679122924805
19.0,6,225.0,100.0,3630,17.7,77,1,19.0,21.25748634338379
30.0,4,97.0,67.0,1985,16.4,77,3,30.0,31.85662269592285
27.2,4,141.0,71.0,3190,24.8,79,2,27.200000762939453,26.037853240966797
16.5,6,168.0,120.0,3820,16.7,76,2,16.5,16.475852966308594
29.0,4,97.0,75.0,2171,16.0,75,3,29.0,28.97280502319336
20.0,8,262.0,110.0,3221,13.5,75,1,20.0,16.315765380859375
15.0,8,318.0,150.0,3777,12.5,73,1,15.0,14.26427173614502
17.5,8,318.0,140.0,4080,13.7,78,1,17.5,15.184830665588379
18.0,6,225.0,95.0,3785,19.0,75,1,18.0,15.739014625549316
